# Bad IDs, reason
R00003, invalid
R01551, invalid
R01552, invalid
R01554, invalid
R01572, invalid
R01591, invalid
R01592, invalid
R01597, invalid
R01601, invalid
R01603, invalid
R01605, invalid
R01606, invalid
R01610, invalid
R01612, invalid
R01622, invalid
R01638, invalid
R01640, invalid
R01642, invalid
R01643, invalid
R01646, invalid
R01653, invalid
R01656, invalid
R01661, invalid
R01671, invalid
R01672, invalid
R01673, invalid
R01674, invalid
R01675, invalid
R01679, invalid
R01681, invalid
R01691, invalid
R01692, invalid
R01693, invalid
R01719, invalid
R01725, invalid
R01726, invalid
R01727, invalid
R01729, invalid
R01733, invalid
R01743, invalid
R01744, invalid
R01746, invalid
R01753, invalid
R01755, invalid
R01756, invalid
R01765, invalid
R01772, invalid
R01774, invalid
R01783, invalid
R01789, invalid
R01792, invalid
R01796, invalid
R01809, invalid
R01816, invalid
R01820, invalid
R01822, invalid
R01828, invalid
R01831, invalid
R01832, invalid
R01839, invalid
R01841, invalid
R01846, invalid
R01847, invalid
R01848, invalid
R01849, invalid
R01852, invalid
R01864, invalid
R01865, invalid
R01871, invalid
R01880, invalid
R01893, invalid
R01894, invalid
R01897, invalid
R01907, invalid
R01916, invalid
R01925, invalid
R01927, invalid
R01935, invalid
R01947, invalid
R01948, invalid
R01949, invalid
R01950, invalid
R01953, invalid
R01955, invalid
R01958, invalid
R01970, invalid
R01971, invalid
R01979, invalid
R01985, invalid
R01988, invalid
R02001, invalid
R02005, invalid
R02012, invalid
R02015, invalid
R02028, invalid
R02031, invalid
R02033, invalid
R02043, invalid
R02044, invalid
R02045, invalid
R02046, invalid
R02048, invalid
R02049, invalid
R02062, invalid
R02066, invalid
R02067, invalid
R02069, invalid
R02070, invalid
R02072, invalid
R02074, invalid
R02079, invalid
R02086, invalid
R02091, invalid
R02096, invalid
R02097, invalid
R02104, invalid
R02105, invalid
R02117, invalid
R02140, invalid
R02146, invalid
R02149, invalid
R02151, invalid
R02153, invalid
R02154, invalid
R02162, invalid
R02166, invalid
R02169, invalid
R02175, invalid
R02176, invalid
R02198, invalid
R02202, invalid
R02217, invalid
R02223, invalid
R02230, invalid
R02270, invalid
R02275, invalid
R02290, invalid
R02292, invalid
R02299, invalid
R02304, invalid
R02308, invalid
R02309, invalid
R02312, invalid
R02314, invalid
R02316, invalid
R02327, invalid
R02332, invalid
R02342, invalid
R02346, invalid
R02348, invalid
R02357, invalid
R02371, invalid
R02372, invalid
R02386, invalid
R02390, invalid
R02392, invalid
R02399, invalid
R02400, invalid
R02403, invalid
R02414, invalid
R02424, invalid
R02431, invalid
R02435, invalid
R02440, invalid
R02448, invalid
R02475, invalid
R02479, invalid
R02483, invalid
R02495, invalid
R02496, invalid
R02500, invalid
R02507, invalid
R02510, invalid
R02523, invalid
R02524, invalid
R02525, invalid
R02538, invalid
R02559, invalid
R02567, invalid
R02578, invalid
R02579, invalid
R02582, invalid
R02607, invalid
R02608, invalid
R02614, invalid
R02629, invalid
R02635, invalid
R02638, invalid
R02641, invalid
R02645, invalid
R02647, invalid
R02653, invalid
R02660, invalid
R02674, invalid
R02686, invalid
R02690, invalid
R02696, invalid
R02710, invalid
R02753, invalid
R02759, invalid
R02761, invalid
R02771, invalid
R02774, invalid
R02775, invalid
R02779, invalid
R02784, invalid
R02785, invalid
R02787, invalid
R02795, invalid
R02796, invalid
R02803, invalid
R02812, invalid
R02829, invalid
R02835, invalid
R02842, invalid
R02844, invalid
R02845, invalid
R02870, invalid
R02871, invalid
R02873, invalid
R02881, invalid
R02883, invalid
R02891, invalid
R02900, invalid
R02913, invalid
R02916, invalid
R02939, invalid
R02947, invalid
R02956, invalid
R02958, invalid
R02966, invalid
R02967, invalid
R02977, invalid
R02981, invalid
R03000, invalid
R03002, invalid
R03007, invalid
R03010, invalid
R03011, invalid
R03029, invalid
R03041, invalid
R03047, invalid
R03061, invalid
R03068, invalid
R03074, invalid
R03085, invalid
R03099, invalid
R03100, invalid
R03101, invalid
R03106, invalid
R03108, invalid
R03113, invalid
R03117, invalid
R03141, invalid
R03144, invalid
R03152, invalid
R03159, invalid
R03160, invalid
R03170, invalid
R03173, invalid
R03179, invalid
R03196, invalid
R03205, invalid
R03221, invalid
R03233, invalid
R03235, invalid
R03242, invalid
R03248, invalid
R03252, invalid
R03272, invalid
R03280, invalid
R03282, invalid
R03285, invalid
R03287, invalid
R03290, invalid
R03292, invalid
R03294, invalid
R03301, invalid
R03305, invalid
R03309, invalid
R03310, invalid
R03312, invalid
R03320, invalid
R03324, invalid
R03328, invalid
R03335, invalid
R03336, invalid
R03338, invalid
R03340, invalid
R03343, invalid
R03368, invalid
R03377, invalid
R03379, invalid
R03382, invalid
R03389, invalid
R03400, invalid
R03403, invalid
R03412, invalid
R03413, invalid
R03414, invalid
R03419, invalid
R03420, invalid
R03426, invalid
R03432, invalid
R03436, invalid
R03442, invalid
R03453, invalid
R03480, invalid
R03481, invalid
R03483, invalid
R03484, invalid
R03485, invalid
R03487, invalid
R03499, invalid
R03500, invalid
R03501, invalid
R03505, invalid
R03525, invalid
R03536, invalid
R03561, invalid
R03569, invalid
R03578, invalid
R03580, invalid
R03598, invalid
R03606, invalid
R03619, invalid
R03644, invalid
R03649, invalid
R03653, invalid
R03669, invalid
R03670, invalid
R03676, invalid
R03683, invalid
R03690, invalid
R03705, invalid
R03715, invalid
R03717, invalid
R03729, invalid
R03730, invalid
R03741, invalid
R03750, invalid
R03752, invalid
R03757, invalid
R03773, invalid
R03786, invalid
R03795, invalid
R03808, invalid
R03811, invalid
R03825, invalid
R03837, invalid
R03839, invalid
R03843, invalid
R03844, invalid
R03846, invalid
R03853, invalid
R03855, invalid
R03865, invalid
R03888, invalid
R03890, invalid
R03895, invalid
R03902, invalid
R03926, invalid
R03931, invalid
R03941, invalid
R03949, invalid
R03951, invalid
R03957, invalid
R03958, invalid
R03960, invalid
R03961, invalid
R03967, invalid
R03972, invalid
R03976, invalid
R03985, invalid
R03988, invalid
R04004, invalid
R04008, invalid
R04041, invalid
R04042, invalid
R04044, invalid
R04045, invalid
R04052, invalid
R04054, invalid
R04064, invalid
R04067, invalid
R04069, invalid
R04075, invalid
R04079, invalid
R04083, invalid
R04086, invalid
R04087, invalid
R04107, invalid
R04110, invalid
R04114, invalid
R04116, invalid
R04128, invalid
R04129, invalid
R04164, invalid
R04181, invalid
R04195, invalid
R04196, invalid
R04197, invalid
R04207, invalid
R04219, invalid
R04220, invalid
R04226, invalid
R04232, invalid
R04233, invalid
R04240, invalid
R04243, invalid
R04244, invalid
R04245, invalid
R04246, invalid
R04253, invalid
R04255, invalid
R04261, invalid
R04262, invalid
R04284, invalid
R04287, invalid
R04288, invalid
R04290, invalid
R04295, invalid
R04298, invalid
R04302, invalid
R04308, invalid
R04324, invalid
R04329, invalid
R04337, invalid
R04351, invalid
R04357, invalid
R04381, invalid
R04395, invalid
R04402, invalid
R04406, invalid
R04407, invalid
R04408, invalid
R04414, invalid
R04415, invalid
R04417, invalid
R04434, invalid
R04442, invalid
R04454, invalid
R04462, invalid
R04465, invalid
R04468, invalid
R04485, invalid
R04492, invalid
R04497, invalid
R04499, invalid
R04508, invalid
R04516, invalid
R04521, invalid
R04528, invalid
R04530, invalid
R04539, invalid
R04551, invalid
R04554, invalid
R04561, invalid
R04569, invalid
R04572, invalid
R04574, invalid
R04585, invalid
R04595, invalid
R04605, invalid
R04612, invalid
R04614, invalid
R04624, invalid
R04625, invalid
R04626, invalid
R04627, invalid
R04628, invalid
R04629, invalid
R04637, invalid
R04651, invalid
R04652, invalid
R04655, invalid
R04663, invalid
R04664, invalid
R04668, invalid
R04669, invalid
R04677, invalid
R04679, invalid
R04680, invalid
R04689, invalid
R04698, invalid
R04704, invalid
R04712, invalid
R04735, invalid
R04750, invalid
R04752, invalid
R04755, invalid
R04757, invalid
R04765, invalid
R04766, invalid
R04767, invalid
R04778, invalid
R04788, invalid
R04793, invalid
R04796, invalid
R04797, invalid
R04802, invalid
R04814, invalid
R04815, invalid
R04816, invalid
R04820, invalid
R04821, invalid
R04822, invalid
R04828, invalid
R04839, invalid
R04841, invalid
R04848, invalid
R04851, invalid
R04865, invalid
R04871, invalid
R04873, invalid
R04896, invalid
R04897, invalid
R04898, invalid
R04912, invalid
R04926, invalid
R04936, invalid
R04974, invalid
R04976, invalid
R04982, invalid
R04983, invalid
R04984, invalid
R04989, invalid
R04990, invalid
R04991, invalid
R04992, invalid
R04993, invalid
R04995, invalid
R04997, invalid
R05003, invalid
R05004, invalid
R05005, invalid
R05006, invalid
R05007, invalid
R05008, invalid
R05009, invalid
R05010, invalid
R05011, invalid
R05012, invalid
R05013, invalid
R05014, invalid
R05015, invalid
R05016, invalid
R05017, invalid
R05018, invalid
R05019, invalid
R05020, invalid
R05021, invalid
R05022, invalid
R05023, invalid
R05024, invalid
R05025, invalid
R05026, invalid
R05027, invalid
R05028, invalid
R05029, invalid
R05031, invalid
R05033, invalid
R05034, invalid
R05042, invalid
R05047, invalid
R05054, invalid
R05065, invalid
R05067, invalid
R05073, invalid
R05082, invalid
R05091, invalid
R05093, invalid
R05094, invalid
R05095, invalid
R05096, invalid
R05101, invalid
R05103, invalid
R05104, invalid
R05139, invalid
R05143, invalid
R05147, invalid
R05159, invalid
R05160, invalid
R05161, invalid
R05178, invalid
R05184, invalid
R05187, invalid
R05192, invalid
R05194, invalid
R05195, invalid
R05200, invalid
R05201, invalid
R05203, invalid
R05204, invalid
R05205, invalid
R05206, invalid
R05208, invalid
R05242, invalid
R05253, invalid
R05254, invalid
R05306, invalid
R05319, invalid
R05340, invalid
R05342, invalid
R05343, invalid
R05456, invalid
R05457, invalid
R05458, invalid
R05460, invalid
R05461, invalid
R05464, invalid
R05489, invalid
R05490, invalid
R05491, invalid
R05494, invalid
R05513, invalid
R05514, invalid
R05517, invalid
R05523, invalid
R05524, invalid
R05525, invalid
R05527, invalid
R05528, invalid
R05529, invalid
R05550, invalid
R05557, invalid
R05561, invalid
R05562, invalid
R05589, invalid
R05614, invalid
R05617, invalid
R05628, invalid
R05638, invalid
R05660, invalid
R05667, invalid
R05709, invalid
R05710, invalid
R05726, invalid
R05736, invalid
R05737, invalid
R05738, invalid
R05755, invalid
R05756, invalid
R05770, invalid
R05785, invalid
R05786, invalid
R05787, invalid
R05851, invalid
R05852, invalid
R05853, invalid
R05854, invalid
R05883, invalid
R05891, invalid
R05892, invalid
R05893, invalid
R05920, invalid
R05921, invalid
R05982, invalid
R05993, invalid
R05997, invalid
R06002, invalid
R06008, invalid
R06017, invalid
R06019, invalid
R06060, invalid
R06065, invalid
R06111, invalid
R06123, invalid
R06133, invalid
R06136, invalid
R06137, invalid
R06146, invalid
R06148, invalid
R06159, invalid
R06205, invalid
R06212, invalid
R06220, invalid
R06231, invalid
R06235, invalid
R06248, invalid
R06252, invalid
R06281, invalid
R06300, invalid
R06360, invalid
R06362, invalid
R06416, invalid
R06425, invalid
R06429, invalid
R06430, invalid
R06431, invalid
R06432, invalid
R06435, invalid
R06440, invalid
R06441, invalid
R06442, invalid
R06444, invalid
R06507, invalid
R06508, invalid
R06509, invalid
R06511, invalid
R06512, invalid
R06524, invalid
R06552, invalid
R06555, invalid
R06557, invalid
R06559, invalid
R06566, invalid
R06567, invalid
R06581, invalid
R06585, invalid
R06596, invalid
R06608, invalid
R06609, invalid
R06616, invalid
R06636, invalid
R06638, invalid
R06639, invalid
R06640, invalid
R06646, invalid
R06647, invalid
R06648, invalid
R06649, invalid
R06657, invalid
R06658, invalid
R06663, invalid
R06669, invalid
R06705, invalid
R06708, invalid
R06712, invalid
R06720, invalid
R06721, invalid
R06723, invalid
R06739, invalid
R06742, invalid
R06749, invalid
R06750, invalid
R06754, invalid
R06755, invalid
R06756, invalid
R06769, invalid
R06841, invalid
R06842, invalid
R06843, invalid
R06844, invalid
R06845, invalid
R06858, invalid
R06859, invalid
R06860, invalid
R06864, invalid
R06873, invalid
R06874, invalid
R06965, invalid
R06984, invalid
R07033, invalid
R07065, invalid
R07126, invalid
R07130, invalid
R07132, invalid
R07139, invalid
R07173, invalid
R07180, invalid
R07189, invalid
R07199, invalid
R07200, invalid
R07219, invalid
R07223, invalid
R07231, invalid
R07235, invalid
R07246, invalid
R07254, invalid
R07283, invalid
R07284, invalid
R07286, invalid
R07304, invalid
R07305, invalid
R07315, invalid
R07327, invalid
R07378, invalid
R07391, invalid
R07408, invalid
R07424, invalid
R07425, invalid
R07434, invalid
R07435, invalid
R07438, invalid
R07439, invalid
R07462, invalid
R07464, invalid
R07465, invalid
R07482, invalid
R07485, invalid
R07490, invalid
R07496, invalid
R07505, invalid
R07584, invalid
R07585, invalid
R07586, invalid
R07587, invalid
R07588, invalid
R07589, invalid
R07590, invalid
R07591, invalid
R07592, invalid
R07593, invalid
R07594, invalid
R07595, invalid
R07596, invalid
R07637, invalid
R07645, invalid
R07681, invalid
R07768, invalid
R07853, invalid
R08025, invalid
R08039, invalid
R08131, invalid
R08156, invalid
R08169, invalid
R08202, invalid
R08209, invalid
R08216, invalid
R08375, invalid
R08457, invalid
R08461, invalid
R08479, invalid
R08493, invalid
R08495, invalid
R08504, invalid
R08516, invalid
R08526, invalid
R08552, invalid
R08554, invalid
R08556, invalid
R08565, invalid
R08580, invalid
R08581, invalid
R08582, invalid
R08586, invalid
R08592, invalid
R08593, invalid
R08594, invalid
R08595, invalid
R08598, invalid
R08649, invalid
R08656, invalid
R08677, invalid
R08703, invalid
R08719, invalid
R08720, invalid
R08722, invalid
R08729, invalid
R08730, invalid
R08731, invalid
R08732, invalid
R08736, invalid
R08737, invalid
R08741, invalid
R08742, invalid
R08773, invalid
R08774, invalid
R08775, invalid
R08781, invalid
R08783, invalid
R08786, invalid
R08793, invalid
R08860, invalid
R08971, invalid
R09001, invalid
R09003, invalid
R09004, invalid
R09005, invalid
R09006, invalid
R09007, invalid
R09008, invalid
R09010, invalid
R09011, invalid
R09012, invalid
R09013, invalid
R09014, invalid
R09015, invalid
R09017, invalid
R09018, invalid
R09019, invalid
R09020, invalid
R09021, invalid
R09022, invalid
R09023, invalid
R09024, invalid
R09025, invalid
R09026, invalid
R09027, invalid
R09028, invalid
R09029, invalid
R09057, invalid
R09058, invalid
R09062, invalid
R09091, invalid
R09092, invalid
R09101, invalid
R09193, invalid
R09194, invalid
R09199, invalid
R09200, invalid
R09294, invalid
R09321, invalid
R09356, invalid
R09396, invalid
R09437, invalid
R09490, invalid
R09546, invalid
R09547, invalid
R09582, invalid
R09706, invalid
R09828, invalid
R09829, invalid
R09869, invalid
R09878, invalid
R10019, invalid
R10058, invalid
R10064, invalid
R10071, invalid
R10083, invalid
R10084, invalid
R10085, invalid
R10087, invalid
R10148, invalid
R10202, invalid
R10214, invalid
R10215, invalid
R10300, invalid
R10354, invalid
R10355, invalid
R10363, invalid
R10364, invalid
R10374, invalid
R10375, invalid
R10377, invalid
R10378, invalid
R10386, invalid
R10387, invalid
R10458, invalid
R10471, invalid
R10489, invalid
R10490, invalid
R10513, invalid
R10567, invalid
R10568, invalid
R10592, invalid
R10618, invalid
R10642, invalid
R10653, invalid
R10654, invalid
R10808, invalid
R10977, invalid
R11027, invalid
R11137, invalid
R11167, invalid
R11331, invalid
R11437, invalid
R11438, invalid
R11567, invalid
R11596, invalid
R11605, invalid
R11725, invalid
R11727, invalid
R11728, invalid
R11729, invalid
R11746, invalid
R11755, invalid
R11757, invalid
R11863, invalid
R11883, invalid
R11884, invalid
R11908, invalid
R11910, invalid
R11966, invalid
R11967, invalid
R11968, invalid
R11969, invalid
R11970, invalid
R12043, invalid
R12044, invalid
R12139, invalid
R12143, invalid
R12174, invalid
R12175, invalid
R12186, invalid
R12189, invalid
R12190, invalid
R12191, invalid
R12192, invalid
R12195, invalid
R12327, invalid
R12480, invalid
R12627, invalid
R12654, invalid
R12655, invalid
R12656, invalid
R12681, invalid
R12809, invalid
R13170, invalid
R13200, invalid
R13201, invalid
R13282, invalid
R13400, invalid
